report,label,time_normalized_rounded,prometheus_scrape_amount
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,3000.0,79245315
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,3030.0,80038091
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,3060.0,80830551
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,3090.0,81623000
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,3120.0,82414449
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,3150.0,83207423
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,3180.0,83999203
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,3210.0,84792407
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,3240.0,85583952
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,3270.0,86377086
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,3300.0,87169162
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,3330.0,87962088
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,3360.0,88753241
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,3390.0,89546391
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,3420.0,90339223
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,3450.0,91132604
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,3480.0,91924404
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,3510.0,92717018
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,3540.0,93509919
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,3570.0,94303163
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,3600.0,95095279
report_2025-07-17_00-30-49.yaml,Scrape 30s Persistence,-0.0,0
report_2025-07-17_00-30-49.yaml,Scrape 30s Persistence,30.0,139628
report_2025-07-17_00-30-49.yaml,Scrape 30s Persistence,60.0,278922
report_2025-07-17_00-30-49.yaml,Scrape 30s Persistence,90.0,418550
report_2025-07-17_00-30-49.yaml,Scrape 30s Persistence,120.0,557862
report_2025-07-17_00-30-49.yaml,Scrape 30s Persistence,150.0,697508
report_2025-07-17_00-30-49.yaml,Scrape 30s Persistence,180.0,836843
report_2025-07-17_00-30-49.yaml,Scrape 30s Persistence,210.0,976489
report_2025-07-17_00-30-49.yaml,Scrape 30s Persistence,240.0,1115822
report_2025-07-17_00-30-49.yaml,Scrape 30s Persistence,270.0,1255468
report_2025-07-17_00-30-49.yaml,Scrape 30s Persistence,300.0,1394801
report_2025-07-17_00-30-49.yaml,Scrape 30s Persistence,330.0,1534447
report_2025-07-17_00-30-49.yaml,Scrape 30s Persistence,360.0,1673780
report_2025-07-17_00-30-49.yaml,Scrape 30s Persistence,390.0,1813426
report_2025-07-17_00-30-49.yaml,Scrape 30s Persistence,420.0,1952759
report_2025-07-17_00-30-49.yaml,Scrape 30s Persistence,450.0,2092405
