report,label,time_normalized_rounded,accounting_system-under-evaluation,ad_system-under-evaluation,cart_system-under-evaluation,checkout_system-under-evaluation,configfile_system-under-evaluation,copy-default-plugins_system-under-evaluation,currency_system-under-evaluation,elasticsearch_system-under-evaluation,elasticsearch-checker_system-under-evaluation,email_system-under-evaluation,flagd_system-under-evaluation,flagd-ui_system-under-evaluation,fraud-detection_system-under-evaluation,frontend_system-under-evaluation,frontend-proxy_system-under-evaluation,grafana_system-under-evaluation,image-provider_system-under-evaluation,init-config_system-under-evaluation,jaeger_system-under-evaluation,jaeger-agent-sidecar_system-under-evaluation,jaeger-collector_system-under-evaluation,jaeger-query_system-under-evaluation,kafka_system-under-evaluation,master_system-under-evaluation,opensearch_system-under-evaluation,opentelemetry-collector_system-under-evaluation,payment_system-under-evaluation,product-catalog_system-under-evaluation,prometheus-server_system-under-evaluation,quote_system-under-evaluation,recommendation_system-under-evaluation,shipping_system-under-evaluation,sysctl_system-under-evaluation,valkey-cart_system-under-evaluation,wait-for-kafka_system-under-evaluation,wait-for-valkey-cart_system-under-evaluation,worker_system-under-evaluation
report_2025-06-29_05-21-15.yaml,10%,450.0,0.01559999999999988,0.608099999999998,1.9137999999999995,0.0,0.0,,0.0,,,0.0,0.3591500000000001,0.0,0.10984999999999824,44.93340000000001,7.070500000000008,0.19455000000000003,0.0,0.0,0.3357000000000009,,,,0.4736499999999978,0.033399999999999964,13.446600000000004,4.9738500000000005,0.0040499999999999165,3.01715,1.1493000000000013,0.0,11.405299999999988,0.0,,0.12055000000000006,0.0,0.0,17.359950000000012
report_2025-06-29_05-21-15.yaml,10%,480.0,0.01639999999999991,0.6274000000000001,2.0027499999999994,0.0,0.0,,0.0,,,0.0,0.37684999999999985,0.0,0.08500000000000038,46.12415000000001,7.267150000000007,0.19730000000000036,0.0,0.0,0.39879999999999993,,,,1.0073999999999994,0.03320000000000008,5.998949999999998,5.13475,0.0040499999999999165,3.1426499999999957,1.1499499999999974,0.0,11.842400000000012,0.0,,0.12454999999999998,0.0,0.0,17.855450000000005
report_2025-06-29_05-21-15.yaml,10%,510.0,0.017400000000000186,0.5859,1.9891500000000026,0.001049999999999999,0.0,,0.0,,,0.0,0.3701999999999998,0.0,0.08589999999999993,46.18269999999999,7.289849999999993,0.19915000000000022,0.0,0.0,0.4020999999999996,,,,1.5560500000000008,0.033799999999999976,5.28104999999999,5.139349999999998,0.0019500000000000739,3.142049999999995,1.264700000000001,0.0,11.790400000000014,0.0,,0.12414999999999997,0.0,0.0,17.96439999999999
report_2025-06-29_05-21-15.yaml,10%,540.0,0.01739999999999995,0.5906000000000025,1.9902000000000006,0.001049999999999999,0.0,,0.0,,,0.0,0.3638500000000003,0.0,0.07964999999999994,46.27230000000006,7.27524999999999,0.19650000000000034,0.0,0.0,0.35524999999999995,,,,0.9613000000000018,0.03389999999999998,5.581449999999995,5.137449999999998,0.0019500000000000739,3.1557500000000043,1.2594500000000002,0.0,11.771749999999974,0.0,,0.12304999999999992,0.0,0.0,17.87569999999999
report_2025-06-29_05-21-15.yaml,10%,570.0,0.02084999999999984,0.594950000000002,2.0601999999999974,0.0,0.0,,0.0,,,0.0,0.3693999999999998,0.0,0.08440000000000131,46.15225000000003,7.245449999999997,0.19535000000000005,0.0,0.0,0.3526000000000001,,,,0.29095000000000176,0.0343,6.288600000000012,5.110699999999997,0.0010500000000000398,3.169450000000006,1.1601999999999975,0.0,11.772999999999987,0.0,,0.12399999999999996,0.0,0.0,17.76914999999999
report_2025-06-29_05-21-15.yaml,10%,600.0,0.01895000000000001,0.5842999999999998,2.0730999999999993,0.0,0.0,,0.0,,,0.0,0.3719999999999999,0.0,0.08599999999999947,46.2786999999999,7.258249999999998,0.19899999999999995,0.0,0.0,0.4078000000000003,,,,0.2969500000000001,0.03589999999999994,6.083800000000004,5.11875,0.0010500000000000398,3.1547499999999977,1.1521500000000022,0.0,11.5933,0.0,,0.12610000000000005,0.0,0.0,17.81470000000001
report_2025-06-29_05-21-15.yaml,10%,630.0,0.02535000000000001,0.6002499999999978,2.0571500000000014,0.0010000000000000009,0.0,,0.0,,,0.0,0.3780499999999999,0.0,0.08134999999999953,46.66674999999996,7.301849999999998,0.20009999999999953,0.0,0.0,0.3558000000000002,,,,0.28394999999999676,0.035000000000000024,5.379299999999997,5.1765000000000025,0.004649999999999939,3.15305,1.24455,0.0,11.471550000000025,0.0,,0.12700000000000009,0.0,0.0,17.889550000000007
report_2025-06-29_05-21-15.yaml,10%,660.0,0.02535000000000001,0.6108499999999973,2.060850000000001,0.0010000000000000009,0.0,,0.0,,,0.0,0.38575000000000065,0.0,0.08235000000000052,46.44115000000008,7.286899999999999,0.2,0.0,0.0,0.35484999999999994,,,,0.3895999999999996,0.03399999999999999,5.264750000000004,5.1752500000000055,0.004649999999999939,3.1794999999999995,1.2603499999999979,0.0,11.441700000000006,0.0,,0.12610000000000005,0.0,0.0,17.795899999999982
report_2025-06-29_05-21-15.yaml,10%,690.0,0.015600000000000117,0.5955499999999991,2.0333500000000035,0.0,0.0,,0.0,,,0.0,0.3798000000000002,0.0,0.08325000000000007,46.00845000000008,7.233050000000003,0.19935000000000022,0.0,0.0,0.4092999999999999,,,,0.42030000000000123,0.03554999999999993,5.7065999999999955,5.142350000000003,0.0021000000000000797,3.1538499999999963,1.176950000000003,0.0,11.523899999999989,0.0,,0.12605000000000005,0.0,0.0,17.756350000000005
report_2025-06-29_05-21-15.yaml,10%,720.0,0.015500000000000113,0.5698500000000005,2.005250000000001,0.0,0.0,,0.0,,,0.0,0.36915000000000003,0.0,0.27924999999999994,45.463249999999974,7.188700000000002,0.19749999999999943,0.0,0.0,0.35,,,,0.3715499999999982,0.03470000000000001,7.804799999999992,5.110350000000001,0.0021000000000000797,3.0988500000000005,1.1630500000000021,0.0,11.534400000000005,0.0,,0.1258999999999998,0.0,0.0,17.70695000000002
report_2025-06-29_05-21-15.yaml,10%,750.0,0.013400000000000033,0.5641,1.9930499999999938,0.000999999999999999,0.0,,0.0,,,0.0,0.37405000000000066,0.0,0.2807999999999993,45.26749999999993,7.206000000000009,0.19575000000000006,0.0,0.0,0.34515000000000007,,,,0.3572000000000003,0.03205000000000003,9.262249999999995,5.123150000000002,0.0010499999999998028,3.1083999999999983,1.233899999999998,0.0,11.2695,0.0,,0.12590000000000004,0.0,0.0,17.703549999999993
report_2025-06-29_05-21-15.yaml,10%,780.0,0.013450000000000037,0.5907000000000001,2.063100000000001,0.000999999999999999,0.0,,0.0,,,0.0,0.3870499999999993,0.0,0.0837000000000008,45.85575000000002,7.2459500000000086,0.19819999999999993,0.0,0.0,0.3994,,,,0.3561499999999986,0.03335000000000008,7.174400000000014,5.1596,0.0010499999999998028,3.126699999999998,1.2560499999999972,0.0,11.316499999999996,0.0,,0.12625000000000028,0.0,0.0,17.757650000000012
report_2025-06-29_05-21-15.yaml,10%,810.0,0.01629999999999991,0.5872000000000033,2.075750000000001,0.0,0.0,,0.0,,,0.0,0.37829999999999964,0.0,0.06870000000000118,46.16500000000002,7.2481499999999865,0.2007000000000005,0.0,0.0,0.3481500000000002,,,,0.30205000000000076,0.035400000000000036,5.762750000000021,5.124599999999994,0.0015000000000000568,3.140450000000002,1.1807000000000016,0.0,11.757699999999993,0.0,,0.12650000000000006,0.0,0.0,17.774649999999987
report_2025-06-29_05-21-15.yaml,10%,840.0,0.016749999999999925,0.583850000000003,2.063700000000002,0.0,0.0,,0.0,,,0.0,0.35920000000000035,0.0,0.06934999999999908,46.18559999999998,7.3236999999999925,0.19805000000000064,0.0,0.0,0.35474999999999945,,,,0.23124999999999998,0.03584999999999994,5.63744999999999,5.138949999999992,0.0015000000000000568,3.144800000000002,1.1730000000000018,0.0,11.904899999999998,0.0,,0.1282499999999999,0.0,0.0,18.000349999999948
